Dist	Num 	Rate    	SumRate
1   	1086	25.5830% 	25.5830%
2   	760 	17.9034% 	43.4865%
3   	1729	40.7303% 	84.2167%
4   	211 	4.9706% 	89.1873%
5   	43  	1.0130% 	90.2002%
6   	17  	0.4005% 	90.6007%
-1  	399 	9.3993% 	100.0000%
Dist	Num 	Rate    	SumRate
1   	67  	32.6829% 	32.6829%
2   	25  	12.1951% 	44.8780%
3   	52  	25.3659% 	70.2439%
4   	15  	7.3171% 	77.5610%
5   	23  	11.2195% 	88.7805%
6   	8   	3.9024% 	92.6829%
7   	3   	1.4634% 	94.1463%
8   	3   	1.4634% 	95.6098%
9   	0   	0.0000% 	95.6098%
10  	2   	0.9756% 	96.5854%
-1  	7   	3.4146% 	100.0000%
output new test.txt to data/fb237_v1_ind/test4.txt over!
